"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15"
"1","believ","vision","earth","econom","will","found","servic","man","freedom","let","can","free","upon","thank","centuri"
"2","weapon","given","moment","state","nation","women","less","without","liberti","respons","peac","freedom","measur","thing","polit"
"3","let","remain","good","men","america","oath","civil","believ","know","better","world","secur","action","mean","famili"
"4","system","congress","protect","democraci","peopl","may","forc","possibl","human","peac","help","men","spirit","friend","give"
"5","tax","face","job","unit","world","see","never","chang","ideal","spirit","nation","must","constitut","father","clear"
"6","begin","must","whether","believ","new","declar","across","union","duti","home","peopl","upon","task","like","class"
"7","limit","emerg","oath","creat","american","deni","care","uniti","societi","celebr","shall","hope","leadership","take","stand"
"8","much","honor","voic","nation","time","happi","polit","find","word","commit","know","life","democraci","hard","take"
"9","well","arm","wealth","secur","govern","hour","common","mani","caus","respect","war","may","order","part","terror"
"10","feder","threaten","capit","program","must","prosper","among","rest","carri","era","seek","equal","part","fact","assum"
"11","reduc","uniti","child","save","great","right","call","becom","choic","high","need","common","purpos","love","done"
"12","struggl","common","crisi","right","live","victori","show","first","mind","other","good","law","mere","need","enough"
"13","prayer","cost","quiet","trade","one","equal","knowledg","learn","stori","proud","ask","principl","restor","word","hear"
"14","support","hatr","remain","intern","work","health","beyond","destini","accept","role","meet","rule","kind","hand","power"
"15","economi","histor","across","realiz","everi","mere","founder","fear","advanc","abroad","power","strength","line","vice","read"
